k,relative_error_standard,relative_error_two_pass,solution_deviation_l2
103,3.409830185520684e-15,3.408203132032096e-15,1.3499887000002839e-15
105,4.133091771386819e-15,4.133213337366699e-15,1.2869460613649347e-15
107,4.607796563319968e-15,4.605813014890666e-15,1.2816164316859497e-15
109,6.258385292194558e-15,6.259321483234178e-15,1.3177759698487695e-15
111,3.694981336362181e-15,3.699113186667773e-15,1.3919587496829646e-15
113,3.3109996977161503e-15,3.3063703186468764e-15,1.3041164339257494e-15
115,3.4187986204735726e-15,3.4192562216473496e-15,1.291558327404683e-15
117,4.180226737917519e-15,4.1835921524685085e-15,1.2744941103565547e-15
119,4.2562909200182655e-15,4.2564455159825105e-15,1.224742088856286e-15
121,4.528995956035088e-15,4.526637549557095e-15,1.3158559109398844e-15
123,7.790790406436151e-15,7.796465312010249e-15,1.2960813147413007e-15
125,3.1191123204149806e-15,3.116777729069871e-15,1.2822917706318735e-15
127,5.412880416849369e-15,5.417748881913814e-15,1.2890000372680014e-15
129,2.4117742217119668e-15,2.4144444648912688e-15,1.3121459082111938e-15
131,2.9512717926542006e-15,2.9547582366793896e-15,1.2858654814662997e-15
133,2.2059948646055113e-15,2.211157630311233e-15,1.243020367539527e-15
135,2.273888226162383e-15,2.278224755355787e-15,1.3503957659117625e-15
137,3.3738707788153427e-15,3.370048944090732e-15,1.2878609227677185e-15
139,3.241635773263467e-15,3.241605462525299e-15,1.2942271799374451e-15
141,3.1556287797888726e-15,3.1538974825562244e-15,1.2359979673183878e-15
143,2.7828770056142025e-15,2.781863685668361e-15,1.3054657729129851e-15
145,2.893020199013679e-15,2.8929588685913376e-15,1.2604899902815183e-15
147,3.0541877396364216e-15,3.056617893730259e-15,1.2828710821748673e-15
149,3.3438171840663244e-15,3.3496314081253574e-15,1.2721852894463854e-15
151,2.50063474754189e-15,2.4948772572701525e-15,1.3054867274086213e-15
153,3.1059763944902135e-15,3.1067969127144862e-15,1.3054619042053904e-15
155,2.89739664834049e-15,2.9044561224702234e-15,1.2966353194130807e-15
157,3.0420319121453505e-15,3.042753526493555e-15,1.322446070075212e-15
159,2.7286443929211647e-15,2.7292182065994077e-15,1.3031627104977172e-15
161,3.168640703613499e-15,3.1698648711329073e-15,1.2888152900675653e-15
163,2.562547961552784e-15,2.565222847095624e-15,1.2831304351555124e-15
165,3.338751961518527e-15,3.3398579510410737e-15,1.2981036893083418e-15
167,2.540680265893153e-15,2.5378568443810715e-15,1.2812390030877774e-15
169,2.6548813512304952e-15,2.653930398953715e-15,1.3179097439236624e-15
171,3.873913074631205e-15,3.87987548768998e-15,1.2854803993000809e-15
173,3.9849658398581775e-15,3.9891327054707335e-15,1.3027272448876221e-15
175,2.630107206128928e-15,2.636093948710682e-15,1.2864041535820138e-15
177,2.7457858043273584e-15,2.741994151593498e-15,1.293960070007023e-15
179,4.0933735974154414e-15,4.092757646220377e-15,1.2747415786825593e-15
181,3.4956214071971243e-15,3.4937479623276694e-15,1.2596036315465367e-15
183,2.7685401937639857e-15,2.763816240221529e-15,1.2610648888604213e-15
185,2.85732945895863e-15,2.8525099216712128e-15,1.2454137054347497e-15
187,4.5928641929162416e-15,4.598582559576757e-15,1.2511628773845473e-15
189,2.543167372648772e-15,2.5508613018834417e-15,1.3290936356196315e-15
191,3.411701347883459e-15,3.419012792023941e-15,1.2667735089327608e-15
193,3.793187063485394e-15,3.7963480396363405e-15,1.254301772013398e-15
195,3.068433861842768e-15,3.0706846300049114e-15,1.315645514953483e-15
197,2.990338221931314e-15,2.9845598547907264e-15,1.2635599669916341e-15
199,3.5675767991270734e-15,3.564439897503352e-15,1.2391245624348812e-15
